用户ID|评论|点赞数
用户ID|评论|点赞数
用户ID|评论|点赞数
网易山东省泰安市网友--迷宫： |相信习总书记一定可以带领中国走向更加的稳定繁荣，相信习总书记会带领中国走向小康之路，习总好样的，不愧是人民所选出来的领导者，我坚决支持和拥护|363
网易黑龙江省伊春市网友--我得看你啊： |习总书记的一系列行动都让我们感到国家立场的坚定，支持习总书记！对国家越来越有信心了！！|312
网易山东省泰安市网友--下一个星球： |习近平主席有魄力、有胆识、有能力、有远见。是个情系于民办事为民的好官。人民永远支持您|304
网易内蒙古乌兰察布市网友 <span id=B6HABG20 class=cGray>ip：116.115.*.*：</span>|开启中英黄金时代，实现双方互惠共赢!习大大辛苦了！|304
网易山东省网友--194611982： |人民需要正能量，人民政府需要个榜样。支持习总书记！|294
网易黑龙江省哈尔滨市网友--兔帽小娃娃： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|288
网易山东省泰安市网友--竹林风1： |习主席让我们看到了希望|288
网易山东省泰安市网友--公主日记： |支持习主席！希望广大领导干部，尤其是基层干部把这些话落到实处，让群众得到真正的实惠|285
网易黑龙江省伊春市网友--我的天那你的： |大家有目共睹！期待领导人 能够排除苦难，为我们民众做出最大努力！辛苦您了：国家领导人！！|283
网易山东省泰安市网友--浮生记： |亲切和蔼的习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福，习主席让世界看好中国，让普天百姓踏踏实实生活在伟大文明且和谐的中国|276
网易山东省泰安市网友--灿烂千阳1： |中国有希望！支持习主席|270
网易黑龙江省伊春市网友--我得看你啊： |支持习总的认真务实！是人民的好榜样！|265
网易黑龙江省伊春市网友--我得看你啊： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|261
网易黑龙江省鹤岗市网友--保存生命： |习总书记的一系列行动都让我们感到国家立场的坚定，支持习总书记！对国家越来越有信心了！！|258
网易黑龙江省鹤岗市网友--像花儿一样的季节： |期待着习大大带领中国走向更美好的未来！|257
网易黑龙江省伊春市网友--我的天那你的： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|255
网易黑龙江省鸡西市网友--你们干啥： |习主席一心为国为民，雷厉风行，为中国的经济发展推波助澜|254
网易黑龙江省伊春市网友--我的天那你的： |习书记讲的好，中国人民有发展的前途，在您的带领下一定会站在世界前列|249
网易黑龙江省鹤岗市网友--可怜宝贝： |看到习总，看到了国家和民族的希望，支持习总。|247
网易黑龙江省鸡西市网友--马克加索尔： |人民需要正能量，人民政府需要个榜样。支持习总书记！|246
网易韩国网友--夏建仁： |习总您辛苦啦，我们永远支持你。|245
网易黑龙江省鸡西市手机网友--卡哇伊能耐： |对习总寄予厚望，中国的富强就看您的了！|244
网易黑龙江省哈尔滨市网友--长发小姑娘： |看到习总，看到了国家和民族的希望，支持习总。|243
网易黑龙江省鹤岗市网友--我的摩托幼儿： |新一代领导人上任之后，看到了太多的变化，百姓很是踏实。|242
网易韩国网友--不经沧桑怎成男人： | 习近平同时强调，要防止一知半解、断章取义、生搬硬套。要防止徒陈空文、等待观望、急功近利。要注意避免合意则取、不合意则舍的倾向，破除妨碍改革发展的那些思维定势。|240
网易黑龙江省鸡西市网友--小笨蛋是谁： |大家有目共睹！期待领导人 能够排除苦难，为我们民众做出最大努力！辛苦您了：国家领导人！！|240
网易韩国网友--玉华王走了： |希望在习主席的领导下，我们国家能更加繁荣昌盛！人民能更加安居乐业！|239
网易韩国网友--太上老君洗澡： |习主席给力！！有您带领全国人民走向国强民富的新生活，我们很有信心！！我们挺你习主席！|236
网易韩国网友--穿针儿张旺女： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|235
网易黑龙江省鹤岗市网友--风姿女人： |支持习总的认真务实！是人民的好榜样！|235
网易黑龙江省鸡西市手机网友--芭比小贫民： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|233
网易黑龙江省鹤岗市网友--大家一起嗨啊： |期待着习大大带领中国走向更美好的未来！|232
网易黑龙江省鹤岗市网友--哇卡卡依： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|232
网易韩国网友--赤脚大仙是狗： |支持习主席/艰苦奋斗，遵循老一辈革命风格，发扬中华民族的传统美德——节俭！从你我做起反对浪费。|231
网易黑龙江省鸡西市网友--伯爵的仆人： |真心敬佩习书记，大力整治现存的社会问题，人们都充满了信心与希望！|230
网易韩国网友--多么哇塞的美女： |习书记讲的好，中国人民有发展的前途，在您的带领下一定会站在世界前列|230
网易韩国网友--城南恋人不是人： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|229
网易韩国网友--太白金废了： |支持习总！中国加油，人民加油，魅力小康与美好人生就在你我身边实现。|229
网易韩国网友--仙佛神灵上网： |习近平主席了解近年来交通条件变化很大，贫困地区要脱贫致富，这方面要加大力度，继续支持。拥护习近平主席|228
网易黑龙江省鸡西市网友--态度设置： |习书记的努力和辛苦全国人民都看到了，我们相信您，支持您！|228
网易韩国网友--天若暗下你便是光： | 坚决拥护习总书记，话语表真心，行动表决心，相信在新一代国家领导人的领导下我们的国家会越来越昌盛|228
网易黑龙江省鸡西市网友--雅客地位高： |希望在习主席的带领下，党员干部能脚踏实地的为民众服务。|227
网易韩国网友--我爱你你爱她我瞎你： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|227
网易韩国网友--比丘国驿丞： |习总给人民带来了新的曙光，支持习总。|225
网易韩国网友--案发我哇： |习主席给我们带来了新气象，相信祖国的明天会更好！|224
网易黑龙江省鹤岗市网友--自由平等博爱： |我们永远忠于习主席！我们永远忠于共产党|224
网易黑龙江省哈尔滨市网友--猛的逼得喝： |祝祖国在习总书记的带领下再创辉煌！|224
网易韩国网友--永远也当不了原配： |在习书记的带领下，坚持法治国家、法治政府、法治社会一体建设，不断开创依法治国新局面。|223
网易黑龙江省鸡西市网友--阿什顿我： |维护国家利益不受侵害，好书记，好领导。支持习总书记决策！|223
网易韩国网友--九命猫死一颗心不灭： |习主席给力！！有您带领全国人民走向国强民富的新生活，我们很有信心！！我们挺你习主席！|223
网易山东省青岛市手机网友--相逢是缘d： |为习大大点赞，加油|0
网易山东省青岛市手机网友--心慈手不软： |支持习大大的访英！|117
网易山东省青岛市手机网友--阿SIR陈： |中国在国际上的影响力和大国作用日益彰显出来，我们的民族自豪感与日俱增。为中国骄傲！|0
网易山东省青岛市手机网友--嘦怹： |习大大国际国内口碑都没的说，人民的好领导|122
网易山东省青岛市手机网友--愛仩沵嘸悔： |拥护主席|0
网易天津市网友 <span id=B6REPC23 class=cGray>ip：60.28.*.*：</span>|英国是一个古老的国家。|0
网易山东省青岛市手机网友--刁小花： |支持习总书记 赞一个|3
网易陕西省渭南市网友--不知有花7： |会见球星，体现出了习大大的亲民形象，相信中国会在习大大的带领下越来越强|1
网易陕西省渭南市网友--m18292303770_1： |习近平将访曼城足球俱乐部，标志着中国将进一步加强与英国在体育方面的合作，实现两国的共赢。|2
网易陕西省渭南市网友--m18292303770_1： |习近平将访曼城足球俱乐部，标志着中国将进一步加强与英国在体育方面的合作，实现两国的共赢。|0
网易山东省青岛市市北区手机网友--阿SIR陈： |坚决拥护我们敬爱的习大大！|0
网易山东省青岛市手机网友--醉逍遥a： |习大大真务实呀!给习大大点赞[嘻嘻][嘻嘻][威武]|2
网易山东省青岛市手机网友--咔b齐偌： |习主席领导做好|0
网易山东省青岛市手机网友--牵手幸福h： |支持习总书记|0
网易山东省青岛市手机网友--朴氏二货： |支持总决策，大力发展高科技，早日实现中国梦|0
网易山东省青岛市手机网友--你已离我而去i： |预祝习大大访英成功！|0
网易山东省青岛市手机网友--铭记n： |务实的好主席！支持[嘻嘻][嘻嘻][心]|0
网易山东省青岛市手机网友--金陵绕丹阳： |习主席冒雨来到武汉视察，没有前呼后拥的保安，没有热烈欢迎的陈容，只有朴实无华，|2
网易山东省青岛市手机网友--吢灵de傾斜： |中国有了习大大感觉话语权明显更足了|0
网易山东省青岛市手机网友--猫腻儿i： |务实|155
网易山东省青岛市手机网友--咔b齐偌： |紧跟习主席，建成小康社会、焕发改革精神、增强法治观念、落实从严治党|1
网易山东省菏泽市网友 <span id=B6KL7EHL class=cGray>ip：27.206.*.*：</span>|习主席访英，更进一步推进了中国的国际地位，是全体中国人的骄傲。像习主席致敬！|1
网易甘肃省陇南市网友--229713487： |社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|2
网易北京市网友 <span id=B6KE3SKG class=cGray>ip：202.106.*.*：</span>|中国足球寄托了中国球迷太多的希望和失望！习大大上任以后中国足球的改革和进步有目共睹，当然一国足球水平的进步不是一朝一夕的事情，需要付出长期的努力，但是只要我们积极向世界强队学习，苦练内功，主动革新，中国足球的崛起只是一个时间问题！|2
网易福建省厦门市网友--财产不敢公示就是腐败分子： |期待中国足球争气，下场击败香港队|35
网易广东省佛山市网友--酱油海洋中的一座山峰： |英国足球，中国在欧洲的铁哥们。|19
网易福建省泉州市网友 <span id=B6KB4V9R class=cGray>ip：59.57.*.*：</span>|此次，习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机.|0
网易山东省烟台市网友--怕情绪： |中国的崛起需要这样的领导人，真心希望在他的领导下,这种现象开始有所改变，总书记为国为民辛苦了！|2
网易四川省成都市网友 <span id=B6KA2PMD class=cGray>ip：182.138.*.*：</span>|习大大好样的|0
网易四川省成都市网友 <span id=B6KA0064 class=cGray>ip：182.138.*.*：</span>|习大大好样的|0
网易河北省唐山市网友--漫不经心77： |习总也是足球爱好者，希望中国足球在未来有更好的发展！|0
网易辽宁省阜新市网友 <span id=B6K9SBCH class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各自的文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易辽宁省阜新市网友 <span id=B6K9S6NS class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各自的文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易河北省唐山市网友--漫不经心77： |希望中国足球能向英国借鉴，能有好的发展！|0
网易河北省唐山市网友--漫不经心77： |希望此访能促进两国体育文化的发展|1
网易贵州省黔东南州网友--那的山这的水： |有习大大这样的“超级球迷“，还有中英签订足球合作协议等这样的合作，我们的足球梦相信不远矣！|0
网易河北省唐山市网友--漫不经心77： |习书记为国为民，值得全国人民拥护！|0
网易北京市网友 <span id=B6K8SJJO class=cGray>ip：118.186.*.*：</span>|两国友好的象征。|0
网易辽宁省沈阳市网友--212343824： |习主席此次出行可谓亮点颇多，如果说中英两国签署了巨额的合作协议是合作的重要表现，那么双方的文化沟通是深入了解、进一步合作的又一个里程碑。习主席在庄园会晤卡梅伦未扎领带，体现了领导人的随和，展示了中国同英国全面战略合作伙伴关系的亲密无间。习主席品尝英伦特色小吃并评价“very good”，既展现了中国外交文化的包容，也展现了习主席接地气、没架子的人格魅力。谈判桌之外的沟通，也许更考验一任领导人外交的手腕和智慧，中国人向来尚礼、尚和，真心为习大大此次出访的气度和优雅点赞！|0
网易辽宁省沈阳市网友--212343824： |习大大本人也是足球爱好者，而且可能足球踢得还不错。英超一直以来被认为是世界上最好的联赛，快节奏、竞争激烈、强队众多，现已成为世界上最受欢迎的体育赛事之一，也是收入最高的足球联赛，英超的很多经验和做法值得我们学习。习大大对国内足球的关注和改革也是大家有目共睹的，中英两国签订足球合作协议是双方加强合作实实在在的例子，更是对中国足球科学发展、勇敢前进的最佳助推。|0
网易河南省网友--游走猫咪： |习大大访英，足球的地位跟兵乓球在中国的地位差不多，曼城是英国足球重要的一部分，习大大选的地方很对。希望中国足球也能够多学学英国足球，早日崛起！|0
网易辽宁省鞍山市网友--tswdys： |庄园会晤，酒吧交流，出席全英孔子学院和孔子课堂年会开幕式，访曼城足球俱乐部，甚至还要会见球星，习大大的亲民的形象不仅深深的印在中国人民心中，也给英国人留下了深刻的印象，这无疑为中英两国更加紧密的关系更迈进一步，其实，中国一如习大大的亲切感觉，也是一个带有亲切感的大国。|0
网易辽宁省鞍山市网友--tswdys： |庄园会晤，酒吧交流，出席全英孔子学院和孔子课堂年会开幕式，访曼城足球俱乐部，甚至还要会见球星，习大大的亲民的形象不仅深深的印在中国人民心中，也给英国人留下了深刻的印象，这无疑为中英两国更加紧密的关系更迈进一步，其实，中国一如习大大的亲切感觉，也是一个带有亲切感的大国。|0
