route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-Ech-mjp-1","T0","5235.T0.1-Ech-mjp-1.1.H","1-Ech-mjp-1.1.H","Melbourne","0"
"1-Ech-mjp-1","T0","5238.T0.1-Ech-mjp-1.2.R","1-Ech-mjp-1.2.R","Echuca/Moama","1"
"1-Sht-mjp-1","T0","5275.T0.1-Sht-mjp-1.1.H","1-Sht-mjp-1.1.H","Melbourne","0"
"1-Sht-mjp-1","T0","5276.T0.1-Sht-mjp-1.2.H","1-Sht-mjp-1.2.H","Melbourne","0"
"1-Sht-mjp-1","T0","5277.T0.1-Sht-mjp-1.3.H","1-Sht-mjp-1.3.H","Melbourne","0"
"1-Sht-mjp-1","T0","5278.T0.1-Sht-mjp-1.3.H","1-Sht-mjp-1.3.H","Melbourne","0"
"1-Sht-mjp-1","T0","5279.T0.1-Sht-mjp-1.4.R","1-Sht-mjp-1.4.R","Shepparton","1"
"1-Sht-mjp-1","T0","5280.T0.1-Sht-mjp-1.5.R","1-Sht-mjp-1.5.R","Shepparton","1"
"1-Sht-mjp-1","T0","5281.T0.1-Sht-mjp-1.6.R","1-Sht-mjp-1.6.R","Shepparton","1"
"1-V01-mjp-1","T0","5288.T0.1-V01-mjp-1.1.H","1-V01-mjp-1.1.H","Albury","0"
"1-V01-mjp-1","T0","5289.T0.1-V01-mjp-1.1.H","1-V01-mjp-1.1.H","Albury","0"
"1-V01-mjp-1","T0","5290.T0.1-V01-mjp-1.1.H","1-V01-mjp-1.1.H","Albury","0"
"1-V01-mjp-1","T0","5291.T0.1-V01-mjp-1.2.R","1-V01-mjp-1.2.R","Melbourne","1"
"1-V01-mjp-1","T0","5292.T0.1-V01-mjp-1.2.R","1-V01-mjp-1.2.R","Melbourne","1"
"1-V01-mjp-1","T0","5293.T0.1-V01-mjp-1.2.R","1-V01-mjp-1.2.R","Melbourne","1"
"1-V04-mjp-1","T0","5239.T0.1-V04-mjp-1.1.H","1-V04-mjp-1.1.H","Ararat","0"
"1-V04-mjp-1","T0","5240.T0.1-V04-mjp-1.1.H","1-V04-mjp-1.1.H","Ararat","0"
"1-V04-mjp-1","T0","5241.T0.1-V04-mjp-1.2.H","1-V04-mjp-1.2.H","Ararat","0"
"1-V04-mjp-1","T0","5242.T0.1-V04-mjp-1.3.R","1-V04-mjp-1.3.R","Melbourne","1"
"1-V04-mjp-1","T0","5243.T0.1-V04-mjp-1.3.R","1-V04-mjp-1.3.R","Melbourne","1"
"1-V04-mjp-1","T0","5244.T0.1-V04-mjp-1.4.R","1-V04-mjp-1.4.R","Melbourne","1"
"1-V05-mjp-1","T0","4867.T0.1-V05-mjp-1.1.H","1-V05-mjp-1.1.H","Ballarat","0"
"1-V05-mjp-1","T0","4868.T0.1-V05-mjp-1.2.H","1-V05-mjp-1.2.H","Ballarat","0"
"1-V05-mjp-1","T0","4869.T0.1-V05-mjp-1.3.H","1-V05-mjp-1.3.H","Ballarat","0"
"1-V05-mjp-1","T0","4870.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4872.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4874.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4876.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4877.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4879.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4881.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4891.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4884.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4890.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4893.T0.1-V05-mjp-1.4.H","1-V05-mjp-1.4.H","Ballarat","0"
"1-V05-mjp-1","T0","4871.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4873.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4875.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4878.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4880.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4882.T0.1-V05-mjp-1.5.H","1-V05-mjp-1.5.H","Ballarat","0"
"1-V05-mjp-1","T0","4883.T0.1-V05-mjp-1.6.H","1-V05-mjp-1.6.H","Ballarat","0"
"1-V05-mjp-1","T0","4885.T0.1-V05-mjp-1.7.H","1-V05-mjp-1.7.H","Ballarat","0"
"1-V05-mjp-1","T0","4886.T0.1-V05-mjp-1.8.H","1-V05-mjp-1.8.H","Ballarat","0"
"1-V05-mjp-1","T0","4888.T0.1-V05-mjp-1.8.H","1-V05-mjp-1.8.H","Ballarat","0"
"1-V05-mjp-1","T0","4887.T0.1-V05-mjp-1.9.H","1-V05-mjp-1.9.H","Ballarat","0"
"1-V05-mjp-1","T0","4892.T0.1-V05-mjp-1.9.H","1-V05-mjp-1.9.H","Ballarat","0"
"1-V05-mjp-1","T0","4889.T0.1-V05-mjp-1.10.H","1-V05-mjp-1.10.H","Ballarat","0"
"1-V05-mjp-1","T0","4894.T0.1-V05-mjp-1.11.H","1-V05-mjp-1.11.H","Ballarat","0"
"1-V05-mjp-1","T0","4895.T0.1-V05-mjp-1.11.H","1-V05-mjp-1.11.H","Ballarat","0"
"1-V05-mjp-1","T0","4896.T0.1-V05-mjp-1.11.H","1-V05-mjp-1.11.H","Ballarat","0"
"1-V05-mjp-1","T0","4899.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4901.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4902.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4903.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4905.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4908.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4912.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4914.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4916.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4918.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4920.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4921.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4923.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4927.T0.1-V05-mjp-1.12.R","1-V05-mjp-1.12.R","Melbourne","1"
"1-V05-mjp-1","T0","4900.T0.1-V05-mjp-1.13.R","1-V05-mjp-1.13.R","Melbourne","1"
"1-V05-mjp-1","T0","4904.T0.1-V05-mjp-1.14.R","1-V05-mjp-1.14.R","Melbourne","1"
"1-V05-mjp-1","T0","4906.T0.1-V05-mjp-1.15.R","1-V05-mjp-1.15.R","Melbourne","1"
"1-V05-mjp-1","T0","4909.T0.1-V05-mjp-1.15.R","1-V05-mjp-1.15.R","Melbourne","1"
"1-V05-mjp-1","T0","4911.T0.1-V05-mjp-1.15.R","1-V05-mjp-1.15.R","Melbourne","1"
"1-V05-mjp-1","T0","4907.T0.1-V05-mjp-1.16.R","1-V05-mjp-1.16.R","Melbourne","1"
"1-V05-mjp-1","T0","4910.T0.1-V05-mjp-1.17.R","1-V05-mjp-1.17.R","Melbourne","1"
"1-V05-mjp-1","T0","4913.T0.1-V05-mjp-1.18.R","1-V05-mjp-1.18.R","Melbourne","1"
"1-V05-mjp-1","T0","4915.T0.1-V05-mjp-1.18.R","1-V05-mjp-1.18.R","Melbourne","1"
